ID;DATAFLOW;COUNTRY;TIME_PERIOD;INFMORRT
AD_2018;ESTAT:TPS00027(1.0);AD;2018;1.8
AL_2011;ESTAT:TPS00027(1.0);AL;2011;8.7
AL_2012;ESTAT:TPS00027(1.0);AL;2012;8.8
AL_2013;ESTAT:TPS00027(1.0);AL;2013;7.9
AL_2014;ESTAT:TPS00027(1.0);AL;2014;7.9
AL_2015;ESTAT:TPS00027(1.0);AL;2015;7.1
AL_2016;ESTAT:TPS00027(1.0);AL;2016;8.7
AL_2017;ESTAT:TPS00027(1.0);AL;2017;8.0
AL_2018;ESTAT:TPS00027(1.0);AL;2018;8.9
AL_2019;ESTAT:TPS00027(1.0);AL;2019;10.3
AL_2020;ESTAT:TPS00027(1.0);AL;2020;10.0
AL_2021;ESTAT:TPS00027(1.0);AL;2021;8.4
AL_2022;ESTAT:TPS00027(1.0);AL;2022;6.5
AM_2011;ESTAT:TPS00027(1.0);AM;2011;11.7
AM_2014;ESTAT:TPS00027(1.0);AM;2014;8.7
AM_2015;ESTAT:TPS00027(1.0);AM;2015;8.9
AM_2016;ESTAT:TPS00027(1.0);AM;2016;8.7
AM_2017;ESTAT:TPS00027(1.0);AM;2017;8.2
AM_2018;ESTAT:TPS00027(1.0);AM;2018;7.1
AM_2020;ESTAT:TPS00027(1.0);AM;2020;7.3
AT_2011;ESTAT:TPS00027(1.0);AT;2011;3.6
AT_2012;ESTAT:TPS00027(1.0);AT;2012;3.2
AT_2013;ESTAT:TPS00027(1.0);AT;2013;3.1
AT_2014;ESTAT:TPS00027(1.0);AT;2014;3.0
AT_2015;ESTAT:TPS00027(1.0);AT;2015;3.1
AT_2016;ESTAT:TPS00027(1.0);AT;2016;3.1
AT_2017;ESTAT:TPS00027(1.0);AT;2017;2.9
AT_2018;ESTAT:TPS00027(1.0);AT;2018;2.7
AT_2019;ESTAT:TPS00027(1.0);AT;2019;2.9
AT_2020;ESTAT:TPS00027(1.0);AT;2020;3.1
AT_2021;ESTAT:TPS00027(1.0);AT;2021;2.7
AT_2022;ESTAT:TPS00027(1.0);AT;2022;2.4
AZ_2011;ESTAT:TPS00027(1.0);AZ;2011;10.8
AZ_2012;ESTAT:TPS00027(1.0);AZ;2012;10.8
AZ_2013;ESTAT:TPS00027(1.0);AZ;2013;10.8
AZ_2014;ESTAT:TPS00027(1.0);AZ;2014;9.7
AZ_2015;ESTAT:TPS00027(1.0);AZ;2015;12.2
AZ_2016;ESTAT:TPS00027(1.0);AZ;2016;10.4
AZ_2017;ESTAT:TPS00027(1.0);AZ;2017;11.8
AZ_2018;ESTAT:TPS00027(1.0);AZ;2018;11.1
AZ_2019;ESTAT:TPS00027(1.0);AZ;2019;11.0
AZ_2020;ESTAT:TPS00027(1.0);AZ;2020;9.8
BA_2012;ESTAT:TPS00027(1.0);BA;2012;5.4
BE_2011;ESTAT:TPS00027(1.0);BE;2011;3.4
BE_2012;ESTAT:TPS00027(1.0);BE;2012;3.8
BE_2013;ESTAT:TPS00027(1.0);BE;2013;3.5
BE_2014;ESTAT:TPS00027(1.0);BE;2014;3.4
BE_2015;ESTAT:TPS00027(1.0);BE;2015;3.3
BE_2016;ESTAT:TPS00027(1.0);BE;2016;3.2
BE_2017;ESTAT:TPS00027(1.0);BE;2017;3.6
BE_2018;ESTAT:TPS00027(1.0);BE;2018;3.8
BE_2019;ESTAT:TPS00027(1.0);BE;2019;3.7
BE_2020;ESTAT:TPS00027(1.0);BE;2020;3.3
BE_2021;ESTAT:TPS00027(1.0);BE;2021;2.9
BE_2022;ESTAT:TPS00027(1.0);BE;2022;2.9
BG_2011;ESTAT:TPS00027(1.0);BG;2011;8.5
BG_2012;ESTAT:TPS00027(1.0);BG;2012;7.8
BG_2013;ESTAT:TPS00027(1.0);BG;2013;7.3
BG_2014;ESTAT:TPS00027(1.0);BG;2014;7.6
BG_2015;ESTAT:TPS00027(1.0);BG;2015;6.6
BG_2016;ESTAT:TPS00027(1.0);BG;2016;6.5
BG_2017;ESTAT:TPS00027(1.0);BG;2017;6.4
BG_2018;ESTAT:TPS00027(1.0);BG;2018;5.8
BG_2019;ESTAT:TPS00027(1.0);BG;2019;5.6
BG_2020;ESTAT:TPS00027(1.0);BG;2020;5.1
BG_2021;ESTAT:TPS00027(1.0);BG;2021;5.6
BG_2022;ESTAT:TPS00027(1.0);BG;2022;4.8
BY_2011;ESTAT:TPS00027(1.0);BY;2011;3.8
BY_2012;ESTAT:TPS00027(1.0);BY;2012;3.3
BY_2013;ESTAT:TPS00027(1.0);BY;2013;3.4
BY_2014;ESTAT:TPS00027(1.0);BY;2014;3.5
BY_2015;ESTAT:TPS00027(1.0);BY;2015;3.0
BY_2016;ESTAT:TPS00027(1.0);BY;2016;3.2
BY_2017;ESTAT:TPS00027(1.0);BY;2017;3.2
BY_2018;ESTAT:TPS00027(1.0);BY;2018;2.5
CH_2011;ESTAT:TPS00027(1.0);CH;2011;3.8
CH_2012;ESTAT:TPS00027(1.0);CH;2012;3.6
CH_2013;ESTAT:TPS00027(1.0);CH;2013;3.9
CH_2014;ESTAT:TPS00027(1.0);CH;2014;3.9
CH_2015;ESTAT:TPS00027(1.0);CH;2015;3.9
CH_2016;ESTAT:TPS00027(1.0);CH;2016;3.6
CH_2017;ESTAT:TPS00027(1.0);CH;2017;3.5
CH_2018;ESTAT:TPS00027(1.0);CH;2018;3.3
CH_2019;ESTAT:TPS00027(1.0);CH;2019;3.3
CH_2020;ESTAT:TPS00027(1.0);CH;2020;3.6
CH_2021;ESTAT:TPS00027(1.0);CH;2021;3.1
CH_2022;ESTAT:TPS00027(1.0);CH;2022;3.8
CY_2011;ESTAT:TPS00027(1.0);CY;2011;3.1
CY_2012;ESTAT:TPS00027(1.0);CY;2012;3.5
CY_2013;ESTAT:TPS00027(1.0);CY;2013;1.6
CY_2014;ESTAT:TPS00027(1.0);CY;2014;2.1
CY_2015;ESTAT:TPS00027(1.0);CY;2015;2.7
CY_2016;ESTAT:TPS00027(1.0);CY;2016;2.6
CY_2017;ESTAT:TPS00027(1.0);CY;2017;1.3
CY_2018;ESTAT:TPS00027(1.0);CY;2018;2.4
CY_2019;ESTAT:TPS00027(1.0);CY;2019;2.6
CY_2020;ESTAT:TPS00027(1.0);CY;2020;2.1
CY_2021;ESTAT:TPS00027(1.0);CY;2021;2.7
CY_2022;ESTAT:TPS00027(1.0);CY;2022;3.1
CZ_2011;ESTAT:TPS00027(1.0);CZ;2011;2.7
CZ_2012;ESTAT:TPS00027(1.0);CZ;2012;2.6
CZ_2013;ESTAT:TPS00027(1.0);CZ;2013;2.5
CZ_2014;ESTAT:TPS00027(1.0);CZ;2014;2.4
CZ_2015;ESTAT:TPS00027(1.0);CZ;2015;2.5
CZ_2016;ESTAT:TPS00027(1.0);CZ;2016;2.8
CZ_2017;ESTAT:TPS00027(1.0);CZ;2017;2.7
CZ_2018;ESTAT:TPS00027(1.0);CZ;2018;2.6
CZ_2019;ESTAT:TPS00027(1.0);CZ;2019;2.6
CZ_2020;ESTAT:TPS00027(1.0);CZ;2020;2.3
CZ_2021;ESTAT:TPS00027(1.0);CZ;2021;2.2
CZ_2022;ESTAT:TPS00027(1.0);CZ;2022;2.3
DE_2011;ESTAT:TPS00027(1.0);DE;2011;3.6
DE_2012;ESTAT:TPS00027(1.0);DE;2012;3.3
DE_2013;ESTAT:TPS00027(1.0);DE;2013;3.3
DE_2014;ESTAT:TPS00027(1.0);DE;2014;3.2
DE_2015;ESTAT:TPS00027(1.0);DE;2015;3.3
DE_2016;ESTAT:TPS00027(1.0);DE;2016;3.4
DE_2017;ESTAT:TPS00027(1.0);DE;2017;3.3
DE_2018;ESTAT:TPS00027(1.0);DE;2018;3.2
DE_2019;ESTAT:TPS00027(1.0);DE;2019;3.2
DE_2020;ESTAT:TPS00027(1.0);DE;2020;3.1
DE_2021;ESTAT:TPS00027(1.0);DE;2021;3.0
DE_2022;ESTAT:TPS00027(1.0);DE;2022;3.2
DK_2011;ESTAT:TPS00027(1.0);DK;2011;3.5
DK_2012;ESTAT:TPS00027(1.0);DK;2012;3.4
DK_2013;ESTAT:TPS00027(1.0);DK;2013;3.5
DK_2014;ESTAT:TPS00027(1.0);DK;2014;4.0
DK_2015;ESTAT:TPS00027(1.0);DK;2015;3.7
DK_2016;ESTAT:TPS00027(1.0);DK;2016;3.1
DK_2017;ESTAT:TPS00027(1.0);DK;2017;3.8
DK_2018;ESTAT:TPS00027(1.0);DK;2018;3.7
DK_2019;ESTAT:TPS00027(1.0);DK;2019;3.0
DK_2020;ESTAT:TPS00027(1.0);DK;2020;3.2
DK_2021;ESTAT:TPS00027(1.0);DK;2021;3.1
DK_2022;ESTAT:TPS00027(1.0);DK;2022;3.3
EE_2011;ESTAT:TPS00027(1.0);EE;2011;2.5
EE_2012;ESTAT:TPS00027(1.0);EE;2012;3.6
EE_2013;ESTAT:TPS00027(1.0);EE;2013;2.1
EE_2014;ESTAT:TPS00027(1.0);EE;2014;2.7
EE_2015;ESTAT:TPS00027(1.0);EE;2015;2.5
EE_2016;ESTAT:TPS00027(1.0);EE;2016;2.3
EE_2017;ESTAT:TPS00027(1.0);EE;2017;2.3
EE_2018;ESTAT:TPS00027(1.0);EE;2018;1.6
EE_2019;ESTAT:TPS00027(1.0);EE;2019;1.6
EE_2020;ESTAT:TPS00027(1.0);EE;2020;1.4
EE_2021;ESTAT:TPS00027(1.0);EE;2021;2.2
EE_2022;ESTAT:TPS00027(1.0);EE;2022;2.2
EL_2011;ESTAT:TPS00027(1.0);EL;2011;3.4
EL_2012;ESTAT:TPS00027(1.0);EL;2012;2.9
EL_2013;ESTAT:TPS00027(1.0);EL;2013;3.7
EL_2014;ESTAT:TPS00027(1.0);EL;2014;3.7
EL_2015;ESTAT:TPS00027(1.0);EL;2015;4.0
EL_2016;ESTAT:TPS00027(1.0);EL;2016;4.2
EL_2017;ESTAT:TPS00027(1.0);EL;2017;3.5
EL_2018;ESTAT:TPS00027(1.0);EL;2018;3.5
EL_2019;ESTAT:TPS00027(1.0);EL;2019;3.7
EL_2020;ESTAT:TPS00027(1.0);EL;2020;3.2
EL_2021;ESTAT:TPS00027(1.0);EL;2021;3.5
EL_2022;ESTAT:TPS00027(1.0);EL;2022;3.0
ES_2011;ESTAT:TPS00027(1.0);ES;2011;3.1
ES_2012;ESTAT:TPS00027(1.0);ES;2012;3.1
ES_2013;ESTAT:TPS00027(1.0);ES;2013;2.7
ES_2014;ESTAT:TPS00027(1.0);ES;2014;2.8
ES_2015;ESTAT:TPS00027(1.0);ES;2015;2.7
ES_2016;ESTAT:TPS00027(1.0);ES;2016;2.7
ES_2017;ESTAT:TPS00027(1.0);ES;2017;2.7
ES_2018;ESTAT:TPS00027(1.0);ES;2018;2.7
ES_2019;ESTAT:TPS00027(1.0);ES;2019;2.6
ES_2020;ESTAT:TPS00027(1.0);ES;2020;2.6
ES_2021;ESTAT:TPS00027(1.0);ES;2021;2.5
ES_2022;ESTAT:TPS00027(1.0);ES;2022;2.6
FI_2011;ESTAT:TPS00027(1.0);FI;2011;2.4
FI_2012;ESTAT:TPS00027(1.0);FI;2012;2.4
FI_2013;ESTAT:TPS00027(1.0);FI;2013;1.8
FI_2014;ESTAT:TPS00027(1.0);FI;2014;2.2
FI_2015;ESTAT:TPS00027(1.0);FI;2015;1.7
FI_2016;ESTAT:TPS00027(1.0);FI;2016;1.9
FI_2017;ESTAT:TPS00027(1.0);FI;2017;2.0
FI_2018;ESTAT:TPS00027(1.0);FI;2018;2.1
FI_2019;ESTAT:TPS00027(1.0);FI;2019;2.1
FI_2020;ESTAT:TPS00027(1.0);FI;2020;1.8
FI_2021;ESTAT:TPS00027(1.0);FI;2021;1.8
FI_2022;ESTAT:TPS00027(1.0);FI;2022;2.0
FR_2011;ESTAT:TPS00027(1.0);FR;2011;3.5
FR_2012;ESTAT:TPS00027(1.0);FR;2012;3.5
FR_2013;ESTAT:TPS00027(1.0);FR;2013;3.6
FR_2014;ESTAT:TPS00027(1.0);FR;2014;3.5
FR_2015;ESTAT:TPS00027(1.0);FR;2015;3.7
FR_2016;ESTAT:TPS00027(1.0);FR;2016;3.7
FR_2017;ESTAT:TPS00027(1.0);FR;2017;3.9
FR_2018;ESTAT:TPS00027(1.0);FR;2018;3.8
FR_2019;ESTAT:TPS00027(1.0);FR;2019;3.8
FR_2020;ESTAT:TPS00027(1.0);FR;2020;3.6
FR_2021;ESTAT:TPS00027(1.0);FR;2021;3.7
FR_2022;ESTAT:TPS00027(1.0);FR;2022;4.0
GE_2011;ESTAT:TPS00027(1.0);GE;2011;12.1
GE_2013;ESTAT:TPS00027(1.0);GE;2013;11.1
GE_2014;ESTAT:TPS00027(1.0);GE;2014;9.5
GE_2015;ESTAT:TPS00027(1.0);GE;2015;8.6
GE_2016;ESTAT:TPS00027(1.0);GE;2016;9.0
GE_2017;ESTAT:TPS00027(1.0);GE;2017;9.6
GE_2018;ESTAT:TPS00027(1.0);GE;2018;8.1
GE_2019;ESTAT:TPS00027(1.0);GE;2019;7.9
GE_2020;ESTAT:TPS00027(1.0);GE;2020;7.9
HR_2011;ESTAT:TPS00027(1.0);HR;2011;4.7
HR_2012;ESTAT:TPS00027(1.0);HR;2012;3.6
HR_2013;ESTAT:TPS00027(1.0);HR;2013;4.1
HR_2014;ESTAT:TPS00027(1.0);HR;2014;5.0
HR_2015;ESTAT:TPS00027(1.0);HR;2015;4.1
HR_2016;ESTAT:TPS00027(1.0);HR;2016;4.3
HR_2017;ESTAT:TPS00027(1.0);HR;2017;4.0
HR_2018;ESTAT:TPS00027(1.0);HR;2018;4.2
HR_2019;ESTAT:TPS00027(1.0);HR;2019;4.0
HR_2020;ESTAT:TPS00027(1.0);HR;2020;4.0
HR_2021;ESTAT:TPS00027(1.0);HR;2021;3.8
HR_2022;ESTAT:TPS00027(1.0);HR;2022;4.1
HU_2011;ESTAT:TPS00027(1.0);HU;2011;4.9
HU_2012;ESTAT:TPS00027(1.0);HU;2012;4.9
HU_2013;ESTAT:TPS00027(1.0);HU;2013;5.0
HU_2014;ESTAT:TPS00027(1.0);HU;2014;4.5
HU_2015;ESTAT:TPS00027(1.0);HU;2015;4.2
HU_2016;ESTAT:TPS00027(1.0);HU;2016;3.9
HU_2017;ESTAT:TPS00027(1.0);HU;2017;3.5
HU_2018;ESTAT:TPS00027(1.0);HU;2018;3.3
HU_2019;ESTAT:TPS00027(1.0);HU;2019;3.6
HU_2020;ESTAT:TPS00027(1.0);HU;2020;3.4
HU_2021;ESTAT:TPS00027(1.0);HU;2021;3.3
HU_2022;ESTAT:TPS00027(1.0);HU;2022;3.6
IE_2011;ESTAT:TPS00027(1.0);IE;2011;3.5
IE_2012;ESTAT:TPS00027(1.0);IE;2012;3.5
IE_2013;ESTAT:TPS00027(1.0);IE;2013;3.6
IE_2014;ESTAT:TPS00027(1.0);IE;2014;3.3
IE_2015;ESTAT:TPS00027(1.0);IE;2015;3.4
IE_2016;ESTAT:TPS00027(1.0);IE;2016;3.0
IE_2017;ESTAT:TPS00027(1.0);IE;2017;3.0
IE_2018;ESTAT:TPS00027(1.0);IE;2018;2.9
IE_2019;ESTAT:TPS00027(1.0);IE;2019;2.8
IE_2020;ESTAT:TPS00027(1.0);IE;2020;3.0
IE_2021;ESTAT:TPS00027(1.0);IE;2021;3.2
IE_2022;ESTAT:TPS00027(1.0);IE;2022;3.2
IS_2011;ESTAT:TPS00027(1.0);IS;2011;0.9
IS_2012;ESTAT:TPS00027(1.0);IS;2012;1.1
IS_2013;ESTAT:TPS00027(1.0);IS;2013;1.8
IS_2014;ESTAT:TPS00027(1.0);IS;2014;2.1
IS_2015;ESTAT:TPS00027(1.0);IS;2015;2.2
IS_2016;ESTAT:TPS00027(1.0);IS;2016;0.7
IS_2017;ESTAT:TPS00027(1.0);IS;2017;2.7
IS_2018;ESTAT:TPS00027(1.0);IS;2018;1.7
IS_2019;ESTAT:TPS00027(1.0);IS;2019;1.1
IS_2020;ESTAT:TPS00027(1.0);IS;2020;2.9
