ID;DATAFLOW;COUNTRY;TIME_PERIOD;INFMORRT
IS_2021;ESTAT:TPS00027(1.0);IS;2021;3.3
IS_2022;ESTAT:TPS00027(1.0);IS;2022;1.4
IT_2011;ESTAT:TPS00027(1.0);IT;2011;2.9
IT_2012;ESTAT:TPS00027(1.0);IT;2012;2.9
IT_2013;ESTAT:TPS00027(1.0);IT;2013;2.9
IT_2014;ESTAT:TPS00027(1.0);IT;2014;2.8
IT_2015;ESTAT:TPS00027(1.0);IT;2015;2.9
IT_2016;ESTAT:TPS00027(1.0);IT;2016;2.8
IT_2017;ESTAT:TPS00027(1.0);IT;2017;2.7
IT_2018;ESTAT:TPS00027(1.0);IT;2018;2.8
IT_2019;ESTAT:TPS00027(1.0);IT;2019;2.4
IT_2020;ESTAT:TPS00027(1.0);IT;2020;2.4
IT_2021;ESTAT:TPS00027(1.0);IT;2021;2.3
IT_2022;ESTAT:TPS00027(1.0);IT;2022;2.3
LI_2011;ESTAT:TPS00027(1.0);LI;2011;2.5
LI_2012;ESTAT:TPS00027(1.0);LI;2012;8.4
LI_2013;ESTAT:TPS00027(1.0);LI;2013;5.9
LI_2014;ESTAT:TPS00027(1.0);LI;2014;2.7
LI_2015;ESTAT:TPS00027(1.0);LI;2015;6.2
LI_2016;ESTAT:TPS00027(1.0);LI;2016;2.6
LI_2017;ESTAT:TPS00027(1.0);LI;2017;0.0
LI_2018;ESTAT:TPS00027(1.0);LI;2018;0.0
LI_2019;ESTAT:TPS00027(1.0);LI;2019;0.0
LI_2020;ESTAT:TPS00027(1.0);LI;2020;5.7
LI_2021;ESTAT:TPS00027(1.0);LI;2021;5.3
LI_2022;ESTAT:TPS00027(1.0);LI;2022;0.0
LT_2011;ESTAT:TPS00027(1.0);LT;2011;4.8
LT_2012;ESTAT:TPS00027(1.0);LT;2012;3.9
LT_2013;ESTAT:TPS00027(1.0);LT;2013;3.7
LT_2014;ESTAT:TPS00027(1.0);LT;2014;3.9
LT_2015;ESTAT:TPS00027(1.0);LT;2015;4.2
LT_2016;ESTAT:TPS00027(1.0);LT;2016;4.5
LT_2017;ESTAT:TPS00027(1.0);LT;2017;3.0
LT_2018;ESTAT:TPS00027(1.0);LT;2018;3.4
LT_2019;ESTAT:TPS00027(1.0);LT;2019;3.3
LT_2020;ESTAT:TPS00027(1.0);LT;2020;2.8
LT_2021;ESTAT:TPS00027(1.0);LT;2021;3.1
LT_2022;ESTAT:TPS00027(1.0);LT;2022;3.0
LU_2011;ESTAT:TPS00027(1.0);LU;2011;4.3
LU_2012;ESTAT:TPS00027(1.0);LU;2012;2.5
LU_2013;ESTAT:TPS00027(1.0);LU;2013;3.9
LU_2014;ESTAT:TPS00027(1.0);LU;2014;2.8
LU_2015;ESTAT:TPS00027(1.0);LU;2015;2.8
LU_2016;ESTAT:TPS00027(1.0);LU;2016;3.8
LU_2017;ESTAT:TPS00027(1.0);LU;2017;3.2
LU_2018;ESTAT:TPS00027(1.0);LU;2018;4.3
LU_2019;ESTAT:TPS00027(1.0);LU;2019;4.7
LU_2020;ESTAT:TPS00027(1.0);LU;2020;4.5
LU_2021;ESTAT:TPS00027(1.0);LU;2021;3.1
LU_2022;ESTAT:TPS00027(1.0);LU;2022;3.5
LV_2011;ESTAT:TPS00027(1.0);LV;2011;6.6
LV_2012;ESTAT:TPS00027(1.0);LV;2012;6.3
LV_2013;ESTAT:TPS00027(1.0);LV;2013;4.4
LV_2014;ESTAT:TPS00027(1.0);LV;2014;3.8
LV_2015;ESTAT:TPS00027(1.0);LV;2015;4.1
LV_2016;ESTAT:TPS00027(1.0);LV;2016;3.7
LV_2017;ESTAT:TPS00027(1.0);LV;2017;4.1
LV_2018;ESTAT:TPS00027(1.0);LV;2018;3.2
LV_2019;ESTAT:TPS00027(1.0);LV;2019;3.4
LV_2020;ESTAT:TPS00027(1.0);LV;2020;3.5
LV_2021;ESTAT:TPS00027(1.0);LV;2021;2.7
LV_2022;ESTAT:TPS00027(1.0);LV;2022;2.4
MD_2011;ESTAT:TPS00027(1.0);MD;2011;11.0
MD_2012;ESTAT:TPS00027(1.0);MD;2012;10.2
MD_2013;ESTAT:TPS00027(1.0);MD;2013;9.5
MD_2014;ESTAT:TPS00027(1.0);MD;2014;9.6
MD_2016;ESTAT:TPS00027(1.0);MD;2016;9.4
MD_2020;ESTAT:TPS00027(1.0);MD;2020;8.7
ME_2011;ESTAT:TPS00027(1.0);ME;2011;4.4
ME_2012;ESTAT:TPS00027(1.0);ME;2012;4.4
ME_2013;ESTAT:TPS00027(1.0);ME;2013;4.4
ME_2014;ESTAT:TPS00027(1.0);ME;2014;4.9
ME_2015;ESTAT:TPS00027(1.0);ME;2015;2.2
ME_2016;ESTAT:TPS00027(1.0);ME;2016;3.4
ME_2017;ESTAT:TPS00027(1.0);ME;2017;1.3
ME_2018;ESTAT:TPS00027(1.0);ME;2018;1.7
ME_2019;ESTAT:TPS00027(1.0);ME;2019;2.4
ME_2020;ESTAT:TPS00027(1.0);ME;2020;2.8
ME_2021;ESTAT:TPS00027(1.0);ME;2021;1.4
MK_2011;ESTAT:TPS00027(1.0);MK;2011;7.6
MK_2012;ESTAT:TPS00027(1.0);MK;2012;9.8
MK_2013;ESTAT:TPS00027(1.0);MK;2013;10.2
MK_2014;ESTAT:TPS00027(1.0);MK;2014;9.9
MK_2015;ESTAT:TPS00027(1.0);MK;2015;8.6
MK_2016;ESTAT:TPS00027(1.0);MK;2016;11.9
MK_2017;ESTAT:TPS00027(1.0);MK;2017;9.2
MK_2018;ESTAT:TPS00027(1.0);MK;2018;5.7
MK_2019;ESTAT:TPS00027(1.0);MK;2019;5.6
MK_2020;ESTAT:TPS00027(1.0);MK;2020;5.7
MK_2021;ESTAT:TPS00027(1.0);MK;2021;4.6
MT_2011;ESTAT:TPS00027(1.0);MT;2011;6.5
MT_2012;ESTAT:TPS00027(1.0);MT;2012;5.3
MT_2013;ESTAT:TPS00027(1.0);MT;2013;6.7
MT_2014;ESTAT:TPS00027(1.0);MT;2014;5.0
MT_2015;ESTAT:TPS00027(1.0);MT;2015;5.8
MT_2016;ESTAT:TPS00027(1.0);MT;2016;7.4
MT_2017;ESTAT:TPS00027(1.0);MT;2017;6.7
MT_2018;ESTAT:TPS00027(1.0);MT;2018;5.6
MT_2019;ESTAT:TPS00027(1.0);MT;2019;6.7
MT_2020;ESTAT:TPS00027(1.0);MT;2020;3.9
MT_2021;ESTAT:TPS00027(1.0);MT;2021;3.9
MT_2022;ESTAT:TPS00027(1.0);MT;2022;5.3
NL_2011;ESTAT:TPS00027(1.0);NL;2011;3.6
NL_2012;ESTAT:TPS00027(1.0);NL;2012;3.7
NL_2013;ESTAT:TPS00027(1.0);NL;2013;3.8
NL_2014;ESTAT:TPS00027(1.0);NL;2014;3.6
NL_2015;ESTAT:TPS00027(1.0);NL;2015;3.3
NL_2016;ESTAT:TPS00027(1.0);NL;2016;3.5
NL_2017;ESTAT:TPS00027(1.0);NL;2017;3.6
NL_2018;ESTAT:TPS00027(1.0);NL;2018;3.5
NL_2019;ESTAT:TPS00027(1.0);NL;2019;3.6
NL_2020;ESTAT:TPS00027(1.0);NL;2020;3.8
NL_2021;ESTAT:TPS00027(1.0);NL;2021;3.3
NL_2022;ESTAT:TPS00027(1.0);NL;2022;3.2
NO_2011;ESTAT:TPS00027(1.0);NO;2011;2.4
NO_2012;ESTAT:TPS00027(1.0);NO;2012;2.5
NO_2013;ESTAT:TPS00027(1.0);NO;2013;2.4
NO_2014;ESTAT:TPS00027(1.0);NO;2014;2.4
NO_2015;ESTAT:TPS00027(1.0);NO;2015;2.3
NO_2016;ESTAT:TPS00027(1.0);NO;2016;2.2
NO_2017;ESTAT:TPS00027(1.0);NO;2017;2.3
NO_2018;ESTAT:TPS00027(1.0);NO;2018;2.3
NO_2019;ESTAT:TPS00027(1.0);NO;2019;2.1
NO_2020;ESTAT:TPS00027(1.0);NO;2020;1.7
NO_2021;ESTAT:TPS00027(1.0);NO;2021;1.9
NO_2022;ESTAT:TPS00027(1.0);NO;2022;1.9
PL_2011;ESTAT:TPS00027(1.0);PL;2011;4.7
PL_2012;ESTAT:TPS00027(1.0);PL;2012;4.6
PL_2013;ESTAT:TPS00027(1.0);PL;2013;4.6
PL_2014;ESTAT:TPS00027(1.0);PL;2014;4.2
PL_2015;ESTAT:TPS00027(1.0);PL;2015;4.0
PL_2016;ESTAT:TPS00027(1.0);PL;2016;4.0
PL_2017;ESTAT:TPS00027(1.0);PL;2017;4.0
PL_2018;ESTAT:TPS00027(1.0);PL;2018;3.8
PL_2019;ESTAT:TPS00027(1.0);PL;2019;3.8
PL_2020;ESTAT:TPS00027(1.0);PL;2020;3.6
PL_2021;ESTAT:TPS00027(1.0);PL;2021;3.9
PL_2022;ESTAT:TPS00027(1.0);PL;2022;3.8
PT_2011;ESTAT:TPS00027(1.0);PT;2011;3.1
PT_2012;ESTAT:TPS00027(1.0);PT;2012;3.4
PT_2013;ESTAT:TPS00027(1.0);PT;2013;2.9
PT_2014;ESTAT:TPS00027(1.0);PT;2014;2.9
PT_2015;ESTAT:TPS00027(1.0);PT;2015;2.9
PT_2016;ESTAT:TPS00027(1.0);PT;2016;3.2
PT_2017;ESTAT:TPS00027(1.0);PT;2017;2.7
PT_2018;ESTAT:TPS00027(1.0);PT;2018;3.3
PT_2019;ESTAT:TPS00027(1.0);PT;2019;2.8
PT_2020;ESTAT:TPS00027(1.0);PT;2020;2.4
PT_2021;ESTAT:TPS00027(1.0);PT;2021;2.4
PT_2022;ESTAT:TPS00027(1.0);PT;2022;2.6
RO_2011;ESTAT:TPS00027(1.0);RO;2011;9.4
RO_2012;ESTAT:TPS00027(1.0);RO;2012;9.0
RO_2013;ESTAT:TPS00027(1.0);RO;2013;8.9
RO_2014;ESTAT:TPS00027(1.0);RO;2014;8.2
RO_2015;ESTAT:TPS00027(1.0);RO;2015;7.5
RO_2016;ESTAT:TPS00027(1.0);RO;2016;6.8
RO_2017;ESTAT:TPS00027(1.0);RO;2017;6.5
RO_2018;ESTAT:TPS00027(1.0);RO;2018;6.0
RO_2019;ESTAT:TPS00027(1.0);RO;2019;5.8
RO_2020;ESTAT:TPS00027(1.0);RO;2020;5.6
RO_2021;ESTAT:TPS00027(1.0);RO;2021;5.2
RO_2022;ESTAT:TPS00027(1.0);RO;2022;5.7
RS_2011;ESTAT:TPS00027(1.0);RS;2011;6.3
RS_2012;ESTAT:TPS00027(1.0);RS;2012;6.2
RS_2013;ESTAT:TPS00027(1.0);RS;2013;6.3
RS_2014;ESTAT:TPS00027(1.0);RS;2014;5.7
RS_2015;ESTAT:TPS00027(1.0);RS;2015;5.3
RS_2016;ESTAT:TPS00027(1.0);RS;2016;5.4
RS_2017;ESTAT:TPS00027(1.0);RS;2017;4.7
RS_2018;ESTAT:TPS00027(1.0);RS;2018;4.9
RS_2019;ESTAT:TPS00027(1.0);RS;2019;4.8
RS_2020;ESTAT:TPS00027(1.0);RS;2020;5.0
RS_2021;ESTAT:TPS00027(1.0);RS;2021;4.7
RS_2022;ESTAT:TPS00027(1.0);RS;2022;4.0
RU_2011;ESTAT:TPS00027(1.0);RU;2011;7.3
RU_2013;ESTAT:TPS00027(1.0);RU;2013;8.2
RU_2014;ESTAT:TPS00027(1.0);RU;2014;7.4
SE_2011;ESTAT:TPS00027(1.0);SE;2011;2.1
SE_2012;ESTAT:TPS00027(1.0);SE;2012;2.6
SE_2013;ESTAT:TPS00027(1.0);SE;2013;2.7
SE_2014;ESTAT:TPS00027(1.0);SE;2014;2.2
SE_2015;ESTAT:TPS00027(1.0);SE;2015;2.5
SE_2016;ESTAT:TPS00027(1.0);SE;2016;2.5
SE_2017;ESTAT:TPS00027(1.0);SE;2017;2.4
SE_2018;ESTAT:TPS00027(1.0);SE;2018;2.0
SE_2019;ESTAT:TPS00027(1.0);SE;2019;2.1
SE_2020;ESTAT:TPS00027(1.0);SE;2020;2.4
SE_2021;ESTAT:TPS00027(1.0);SE;2021;1.8
SE_2022;ESTAT:TPS00027(1.0);SE;2022;2.2
SI_2011;ESTAT:TPS00027(1.0);SI;2011;2.9
SI_2012;ESTAT:TPS00027(1.0);SI;2012;1.6
SI_2013;ESTAT:TPS00027(1.0);SI;2013;2.9
SI_2014;ESTAT:TPS00027(1.0);SI;2014;1.8
SI_2015;ESTAT:TPS00027(1.0);SI;2015;1.6
SI_2016;ESTAT:TPS00027(1.0);SI;2016;2.0
SI_2017;ESTAT:TPS00027(1.0);SI;2017;2.1
SI_2018;ESTAT:TPS00027(1.0);SI;2018;1.7
SI_2019;ESTAT:TPS00027(1.0);SI;2019;2.1
SI_2020;ESTAT:TPS00027(1.0);SI;2020;2.2
SI_2021;ESTAT:TPS00027(1.0);SI;2021;1.8
SI_2022;ESTAT:TPS00027(1.0);SI;2022;2.5
SK_2011;ESTAT:TPS00027(1.0);SK;2011;4.9
SK_2012;ESTAT:TPS00027(1.0);SK;2012;5.8
SK_2013;ESTAT:TPS00027(1.0);SK;2013;5.5
SK_2014;ESTAT:TPS00027(1.0);SK;2014;5.8
SK_2015;ESTAT:TPS00027(1.0);SK;2015;5.1
SK_2016;ESTAT:TPS00027(1.0);SK;2016;5.4
SK_2017;ESTAT:TPS00027(1.0);SK;2017;4.5
SK_2018;ESTAT:TPS00027(1.0);SK;2018;5.0
SK_2019;ESTAT:TPS00027(1.0);SK;2019;5.1
SK_2020;ESTAT:TPS00027(1.0);SK;2020;5.1
SK_2021;ESTAT:TPS00027(1.0);SK;2021;4.9
SK_2022;ESTAT:TPS00027(1.0);SK;2022;5.4
SM_2011;ESTAT:TPS00027(1.0);SM;2011;3.1
SM_2012;ESTAT:TPS00027(1.0);SM;2012;0.0
SM_2017;ESTAT:TPS00027(1.0);SM;2017;0.0
TR_2011;ESTAT:TPS00027(1.0);TR;2011;11.7
TR_2012;ESTAT:TPS00027(1.0);TR;2012;11.6
TR_2013;ESTAT:TPS00027(1.0);TR;2013;10.8
TR_2014;ESTAT:TPS00027(1.0);TR;2014;11.1
TR_2015;ESTAT:TPS00027(1.0);TR;2015;10.7
TR_2016;ESTAT:TPS00027(1.0);TR;2016;10.0
TR_2017;ESTAT:TPS00027(1.0);TR;2017;9.2
TR_2018;ESTAT:TPS00027(1.0);TR;2018;9.3
TR_2019;ESTAT:TPS00027(1.0);TR;2019;9.1
TR_2022;ESTAT:TPS00027(1.0);TR;2022;9.2
UA_2011;ESTAT:TPS00027(1.0);UA;2011;9.0
UA_2012;ESTAT:TPS00027(1.0);UA;2012;8.4
UA_2013;ESTAT:TPS00027(1.0);UA;2013;8.0
UA_2014;ESTAT:TPS00027(1.0);UA;2014;7.8
UA_2015;ESTAT:TPS00027(1.0);UA;2015;8.1
UA_2016;ESTAT:TPS00027(1.0);UA;2016;7.4
UA_2017;ESTAT:TPS00027(1.0);UA;2017;7.7
UA_2018;ESTAT:TPS00027(1.0);UA;2018;7.1
UA_2019;ESTAT:TPS00027(1.0);UA;2019;7.1
UA_2020;ESTAT:TPS00027(1.0);UA;2020;6.8
UA_2021;ESTAT:TPS00027(1.0);UA;2021;7.2
UK_2011;ESTAT:TPS00027(1.0);UK;2011;4.2
UK_2012;ESTAT:TPS00027(1.0);UK;2012;4.0
UK_2013;ESTAT:TPS00027(1.0);UK;2013;3.9
UK_2014;ESTAT:TPS00027(1.0);UK;2014;3.9
UK_2015;ESTAT:TPS00027(1.0);UK;2015;3.9
UK_2016;ESTAT:TPS00027(1.0);UK;2016;3.8
UK_2017;ESTAT:TPS00027(1.0);UK;2017;3.9
UK_2018;ESTAT:TPS00027(1.0);UK;2018;3.9
XK_2011;ESTAT:TPS00027(1.0);XK;2011;13.1
XK_2012;ESTAT:TPS00027(1.0);XK;2012;11.4
XK_2015;ESTAT:TPS00027(1.0);XK;2015;9.7
XK_2016;ESTAT:TPS00027(1.0);XK;2016;8.5
XK_2017;ESTAT:TPS00027(1.0);XK;2017;9.7
XK_2018;ESTAT:TPS00027(1.0);XK;2018;10.6
XK_2019;ESTAT:TPS00027(1.0);XK;2019;8.7
